Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
40,Marco Belinelli\belinma01,SG,31,TOT,80,2,1947,6.2,14.1,0.441,2.8,7.3,0.377,3.5,6.8,0.509,2.7,3,0.908,0.4,2.4,2.8,2.7,1.2,0.2,1.7,1.7,18
40,Marco Belinelli\belinma01,SG,31,ATL,52,1,1210,5.9,14.4,0.41,2.7,7.3,0.372,3.2,7.1,0.45,3,3.2,0.927,0.4,2.6,3,3.1,1.4,0.1,1.6,1.2,17.6
40,Marco Belinelli\belinma01,SG,31,PHI,28,1,737,6.7,13.6,0.495,2.8,7.2,0.385,4,6.4,0.618,2.3,2.6,0.87,0.3,2.2,2.5,2.2,1,0.4,2,2.4,18.6
41,Jordan Bell\belljo01,C,23,GSW,57,13,809,5.2,8.2,0.627,0,0.2,0,5.2,8.1,0.641,1.3,2,0.682,2.7,6.5,9.2,4.5,1.6,2.5,2.3,4.1,11.7
42,DeAndre' Bembry\bembrde01,SF,23,ATL,26,3,455,4.2,10.1,0.414,0.9,2.4,0.367,3.3,7.8,0.429,1.5,2.6,0.576,0.6,5.1,5.7,3.9,1.7,0.9,3.7,3,10.8
43,Dragan Bender\bendedr01,PF,20,PHO,82,37,2069,3.3,8.4,0.386,2.1,5.6,0.366,1.2,2.8,0.426,0.7,0.9,0.765,0.7,5.6,6.3,2.3,0.4,0.9,1.9,2.9,9.2
44,Davis Bertans\bertada01,PF,25,SAS,77,10,1086,5.3,12.1,0.44,3.1,8.4,0.373,2.2,3.8,0.588,1.3,1.6,0.816,0.6,4.5,5.1,2.5,0.9,0.9,1.2,3.1,15.1
45,Patrick Beverley\beverpa01,SG,29,LAC,11,11,334,5.2,12.8,0.403,2.6,6.5,0.4,2.6,6.4,0.407,1.5,1.8,0.824,1.7,3.1,4.9,3.4,2,0.5,2.7,3.7,14.4
46,Khem Birch\birchkh01,C,25,ORL,42,0,578,4.2,7.8,0.54,0,0,,4.2,7.8,0.54,2.6,3.8,0.689,4.4,6.9,11.2,2.1,0.9,1.3,1.3,3.5,11.1
47,Jabari Bird\birdja01,SG,23,BOS,13,1,115,4.7,8.1,0.577,0.9,2.2,0.429,3.8,5.9,0.632,1.9,4.1,0.462,1.9,4.1,5.9,2.5,0.9,0.3,2.5,2.2,12.2
48,Bismack Biyombo\biyombi01,C,25,ORL,82,25,1495,4.4,8.5,0.52,0,0,0,4.4,8.5,0.521,2.5,3.8,0.65,3.5,7.8,11.3,1.6,0.5,2.3,2,3.8,11.3
49,Nemanja Bjelica\bjeline01,PF,29,MIN,67,21,1371,4.5,9.7,0.461,2,4.8,0.415,2.5,4.9,0.505,0.9,1.2,0.8,1.4,5.8,7.2,2.3,1.3,0.4,1.4,3.7,11.9
50,Tarik Black\blackta01,C,26,HOU,51,2,536,5,8.5,0.591,0.1,0.7,0.091,5,7.8,0.638,1.9,4.2,0.46,4.2,6.7,10.9,0.9,1.4,2,2.4,7.2,12.1
51,Antonio Blakeney\blakean01,SG,21,CHI,19,0,314,6.1,16.4,0.371,1.7,6,0.288,4.4,10.4,0.418,3.4,4.5,0.769,0.5,3.3,3.8,2.3,0.8,0.1,1.3,2.2,17.3
52,Eric Bledsoe\bledser01,PG,28,TOT,74,74,2322,7.3,15.3,0.473,1.9,5.6,0.347,5.3,9.8,0.545,3.9,4.9,0.795,0.8,3.6,4.4,5.7,2.3,0.7,3.3,2.9,20.4
52,Eric Bledsoe\bledser01,PG,28,PHO,3,3,83,6.9,17.3,0.4,1.7,5.6,0.308,5.2,11.7,0.444,4.8,6.1,0.786,1.3,1.7,3,3.9,1.7,0.9,4.3,2.6,20.4
52,Eric Bledsoe\bledser01,PG,28,MIL,71,71,2239,7.3,15.3,0.476,1.9,5.6,0.349,5.3,9.7,0.55,3.9,4.9,0.795,0.8,3.7,4.5,5.8,2.3,0.6,3.3,2.9,20.4
