Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
112,DeMarcus Cousins\couside01,C,27,NOP,48,48,1737,8.4,17.9,0.47,2.2,6.1,0.354,6.3,11.8,0.53,6.1,8.2,0.746,2.2,10.6,12.8,5.3,1.6,1.6,5,3.8,25.1
113,Robert Covington\covinro01,SF,27,PHI,80,80,2532,4.9,11.9,0.413,2.9,7.8,0.369,2,4.1,0.497,1.6,1.9,0.853,0.8,5.4,6.2,2.2,1.9,1,1.8,3.4,14.3
114,Allen Crabbe\crabbal01,SG,25,BRK,75,68,2197,5.5,13.6,0.407,3.3,8.7,0.378,2.2,4.8,0.461,1.9,2.2,0.852,0.5,4.9,5.3,1.9,0.8,0.6,1.3,2.8,16.2
115,Torrey Craig\craigto01,SF,27,DEN,39,5,629,3.5,7.8,0.453,1,3.3,0.293,2.6,4.5,0.57,1.3,2,0.629,2.3,5,7.3,1.4,0.7,0.9,1.1,3.6,9.3
116,Jamal Crawford\crawfja01,SG,37,MIN,80,0,1653,6.7,16.2,0.415,2.3,6.8,0.331,4.4,9.3,0.477,2.2,2.5,0.903,0.5,1.7,2.2,4,0.9,0.2,2.1,1.9,17.9
117,Jordan Crawford\crawfjo02,SG,29,NOP,5,0,53,8.2,18.3,0.444,5.4,9.5,0.571,2.7,8.8,0.308,0.7,0.7,1,1.4,1.4,2.7,8.8,0.7,0.7,3.4,4.8,22.4
118,Jae Crowder\crowdja01,SF,27,TOT,80,47,2090,4.7,11.6,0.404,1.9,5.9,0.323,2.8,5.7,0.488,2.1,2.5,0.818,1,3.7,4.7,1.7,1.1,0.4,1.3,3.2,13.3
118,Jae Crowder\crowdja01,SF,27,CLE,53,47,1346,4.2,10.1,0.418,1.7,5.1,0.328,2.5,5,0.508,2.1,2.5,0.848,1.1,3.5,4.6,1.6,1.1,0.3,1.1,3.3,12.1
118,Jae Crowder\crowdja01,SF,27,UTA,27,0,744,5.5,14.3,0.386,2.3,7.4,0.316,3.2,6.9,0.462,2.1,2.7,0.768,0.9,4.1,4.9,2,1.1,0.4,1.5,3,15.4
119,Dante Cunningham\cunnida01,SF,30,TOT,73,25,1562,3.8,8.4,0.451,1.3,3.9,0.345,2.4,4.5,0.541,0.7,1.2,0.596,1.8,5.1,6.9,1.1,0.9,0.7,0.8,2.6,9.6
119,Dante Cunningham\cunnida01,SF,30,NOP,51,24,1115,3.2,7.3,0.44,1.1,3.5,0.324,2.1,3.8,0.547,0.6,1.2,0.556,1.6,4.6,6.2,0.8,0.9,0.5,0.5,2.4,8.2
119,Dante Cunningham\cunnida01,SF,30,BRK,22,1,447,5.2,11.2,0.468,1.9,4.8,0.383,3.4,6.4,0.532,0.9,1.3,0.688,2.3,6.2,8.5,1.8,1,1.1,1.4,2.9,13.2
120,Stephen Curry\curryst01,PG,29,GSW,51,51,1631,9.4,19.1,0.495,4.7,11.1,0.423,4.8,8,0.595,6.1,6.7,0.921,0.8,5,5.8,6.8,1.8,0.2,3.4,2.5,29.7
121,Troy Daniels\danietr01,SG,26,PHO,79,15,1622,5.1,12.8,0.403,4.1,10.2,0.4,1.1,2.6,0.419,1.2,1.4,0.875,0.3,2.6,2.8,1.1,0.6,0.1,1.2,3,15.6
122,Anthony Davis\davisan02,PF,24,NOP,75,75,2727,10.3,19.3,0.534,0.7,2.1,0.34,9.6,17.2,0.558,6.5,7.9,0.828,2.5,8.5,11,2.3,1.5,2.5,2.1,2.1,27.9
123,Deyonta Davis\davisde01,C,21,MEM,62,6,943,6.1,10.1,0.608,0,0,,6.1,10.1,0.608,1.5,2.2,0.667,2.9,6.7,9.5,1.5,0.6,1.5,1.2,4.8,13.7
124,Ed Davis\davised01,C,28,POR,78,0,1471,4.2,7.1,0.582,0,0,0,4.2,7.1,0.584,1.8,2.7,0.667,4.5,9.6,14.1,1,0.8,1.3,1.6,4.6,10.1
125,Dewayne Dedmon\dedmode01,C,28,ATL,62,46,1542,5.8,11.1,0.524,1.2,3.3,0.355,4.7,7.8,0.595,1.6,2,0.779,2.3,9.1,11.4,2.1,0.9,1.2,2,3.8,14.4
126,Sam Dekker\dekkesa01,PF,23,LAC,73,1,883,5.2,10.6,0.494,0.4,2.4,0.167,4.8,8.1,0.593,1.5,2.3,0.661,1.8,5.3,7.1,1.5,1,0.4,1.3,2.9,12.4
127,Malcolm Delaney\delanma01,PG,28,ATL,54,3,1014,3.9,10.1,0.382,1.6,4.4,0.371,2.2,5.7,0.391,2.6,3.3,0.804,0.3,3.2,3.6,5.8,1.2,0.2,2.3,2.9,12
128,Matthew Dellavedova\dellama01,PG,27,MIL,38,3,712,2.8,7.7,0.362,1.5,3.9,0.372,1.3,3.7,0.351,1.3,1.4,0.926,0.7,2.5,3.2,7.3,0.7,0,2.5,3.4,8.3
129,Luol Deng\denglu01,SF,32,LAL,1,1,13,2.8,5.5,0.5,0,0,,2.8,5.5,0.5,0,0,,0,0,0,2.8,2.8,0,2.8,0,5.5
130,DeMar DeRozan\derozde01,SG,28,TOR,80,80,2711,8.6,18.8,0.456,1.2,3.8,0.31,7.4,15,0.494,6.1,7.4,0.825,0.8,3.4,4.2,5.5,1.1,0.3,2.3,2,24.4
131,Cheick Diallo\diallch01,PF,21,NOP,52,0,581,6.3,10.9,0.58,0,0,,6.3,10.9,0.58,3.1,4.1,0.758,2.9,10.2,13.1,1.2,0.7,1.3,1.7,5.1,15.7
132,Gorgui Dieng\dienggo01,C,28,MIN,79,0,1333,5,10.5,0.479,0.5,1.6,0.311,4.5,8.8,0.511,2.1,2.8,0.775,2.9,6.9,9.7,1.9,1.2,1.1,1.6,4,12.7
133,Spencer Dinwiddie\dinwisp01,PG,24,BRK,80,58,2306,5.1,13.1,0.387,2.2,6.8,0.326,2.9,6.3,0.452,3.4,4.2,0.813,0.6,3.4,4,8.2,1.1,0.4,2,2.9,15.7
134,Tyler Dorsey\dorsety01,SG,21,ATL,56,5,974,5.3,14.1,0.377,2.7,7.4,0.362,2.7,6.8,0.393,1.7,2.3,0.714,0.6,4.2,4.8,2.9,0.6,0.2,1.4,2.3,15
135,Damyean Dotson\dotsoda01,SG,23,NYK,44,2,474,5.5,12.2,0.447,1.7,5.2,0.324,3.8,7.1,0.538,1.2,1.7,0.696,0.7,5.7,6.4,2.4,0.9,0.2,1.3,2.6,13.8
136,Milton Doyle\doylemi01,SG,24,BRK,10,0,125,3.7,13.5,0.277,1.2,6.6,0.174,2.6,6.9,0.375,1.2,2.3,0.5,0.9,4.3,5.2,2.9,1.7,0.6,0.6,3.7,9.8
137,PJ Dozier\doziepj01,PG,21,OKC,2,0,3,12,24,0.5,0,0,,12,24,0.5,0,0,,0,12,12,0,0,0,12,12,24
138,Goran Dragic\dragigo01,PG,31,MIA,75,75,2378,7.3,16.3,0.45,1.7,4.5,0.37,5.6,11.7,0.481,3.3,4.1,0.801,0.8,3.8,4.6,5.4,1,0.2,2.5,2.7,19.6
139,Larry Drew\drewla02,PG,27,TOT,10,0,70,3.6,12.3,0.292,1.5,4.6,0.333,2.1,7.7,0.267,0,0,,1.5,0,1.5,5.1,0,0,1.5,3.1,8.7
139,Larry Drew\drewla02,PG,27,PHI,3,0,15,2.4,16.8,0.143,0,7.2,0,2.4,9.6,0.25,0,0,,2.4,0,2.4,4.8,0,0,2.4,4.8,4.8
139,Larry Drew\drewla02,PG,27,NOP,7,0,55,3.9,11.1,0.353,2,3.9,0.5,2,7.2,0.273,0,0,,1.3,0,1.3,5.2,0,0,1.3,2.6,9.8
140,Andre Drummond\drumman01,C,24,DET,78,78,2625,6.4,12.1,0.529,0,0.2,0,6.4,11.9,0.536,3.3,5.4,0.605,5.5,11.6,17.1,3.3,1.6,1.7,2.7,3.4,16.1
141,Jared Dudley\dudleja01,PF,32,PHO,48,0,686,2.5,6.4,0.393,1.5,4.2,0.363,1,2.2,0.452,1.4,1.8,0.771,0.4,4.5,4.9,4.1,1.3,0.6,1.5,4.5,8
142,Kris Dunn\dunnkr01,PG,23,CHI,52,43,1525,6.8,15.7,0.429,1,3.2,0.321,5.7,12.6,0.457,2,2.7,0.737,0.6,4.7,5.2,7.3,2.5,0.6,3.5,4.1,16.5
143,Kevin Durant\duranke01,PF,29,GSW,68,68,2325,9.8,18.9,0.516,2.7,6.4,0.419,7.1,12.5,0.565,5.6,6.3,0.889,0.5,6.7,7.2,5.7,0.8,1.8,3.2,2.1,27.7
144,Jarell Eddie\eddieja01,SF,26,TOT,3,0,9,0,8,0,0,8,0,0,0,,0,0,,0,4,4,0,4,0,0,0,0
144,Jarell Eddie\eddieja01,SF,26,BOS,2,0,6,0,6,0,0,6,0,0,0,,0,0,,0,6,6,0,6,0,0,0,0
144,Jarell Eddie\eddieja01,SF,26,CHI,1,0,3,0,12,0,0,12,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
145,Henry Ellenson\ellenhe01,PF,21,DET,38,0,329,5.8,16,0.363,2.2,6.6,0.333,3.6,9.4,0.384,2.7,3.2,0.862,1.1,7.8,8.9,2.2,0.5,0,2,2.4,16.5
146,Wayne Ellington\ellinwa01,SG,30,MIA,77,2,2041,5,12.3,0.407,4,10.2,0.392,1,2.1,0.479,1.2,1.4,0.859,0.4,3.4,3.8,1.4,0.9,0.1,0.9,1.7,15.2
147,Joel Embiid\embiijo01,C,23,PHI,63,63,1912,9.6,19.9,0.483,1.2,4,0.308,8.4,15.9,0.527,6.8,8.8,0.769,2.7,10.3,13,3.7,0.8,2.1,4.4,3.9,27.2
148,James Ennis\ennisja01,SF,27,TOT,72,22,1604,4.1,8.6,0.474,1.1,3.4,0.333,2.9,5.2,0.567,2.2,2.6,0.836,1.6,3.4,5,1.6,1.1,0.4,1.3,3,11.5
148,James Ennis\ennisja01,SF,27,MEM,45,14,1053,3.7,7.6,0.486,1,2.9,0.357,2.7,4.7,0.565,2.2,2.5,0.877,1.8,3.6,5.4,1.7,1.1,0.4,1.3,2.8,10.6
148,James Ennis\ennisja01,SF,27,DET,27,8,551,4.8,10.6,0.457,1.4,4.5,0.304,3.5,6.1,0.57,2.2,2.8,0.767,1.3,3.1,4.4,1.4,1,0.4,1.2,3.5,13.2
149,Tyler Ennis\ennisty01,PG,23,LAL,54,11,683,5,11.8,0.42,0.7,3,0.25,4.2,8.9,0.476,1.2,1.5,0.759,1,4,5,5.5,1.6,0.5,2,4,11.8
150,Jawun Evans\evansja01,PG,21,LAC,48,4,778,4.1,11.7,0.352,0.7,2.5,0.278,3.4,9.2,0.372,1.8,2.3,0.776,0.4,3.5,3.9,4.6,1.7,0.3,2,4.5,10.7
151,Jeremy Evans\evansje01,SF,30,ATL,1,0,5,7.2,7.2,1,0,0,,7.2,7.2,1,0,0,,7.2,0,7.2,0,0,0,7.2,7.2,14.4
152,Tyreke Evans\evansty01,PG,28,MEM,52,32,1607,8.2,18.1,0.452,2.6,6.4,0.399,5.6,11.7,0.482,3.7,4.7,0.785,1,5,5.9,6,1.3,0.4,2.6,2.2,22.6
153,Dante Exum\exumda01,PG,22,UTA,14,0,235,6.4,13.3,0.483,0.8,2.8,0.278,5.7,10.6,0.536,3.8,4.7,0.806,0.6,3.4,4,6.6,1.2,0.5,3.1,3.1,17.5
154,Kenneth Faried\farieke01,PF,28,DEN,32,7,461,5.9,11.6,0.514,0,0.1,0,5.9,11.5,0.517,2.8,4,0.706,5.3,6.6,11.9,1.4,0.9,1,1.8,4,14.7
155,Derrick Favors\favorde01,C,26,UTA,77,77,2153,6.6,11.7,0.563,0.2,1.1,0.222,6.4,10.7,0.596,2.3,3.6,0.651,3.3,5.9,9.2,1.7,0.9,1.4,1.5,2.7,15.8
156,Kay Felder\feldeka01,PG,22,TOT,16,0,140,5.4,18,0.3,1,4.9,0.211,4.4,13.1,0.333,2.8,3.1,0.917,0.8,3.9,4.6,5.1,0.8,0.3,4.1,2.8,14.7
156,Kay Felder\feldeka01,PG,22,CHI,14,0,134,5.4,17.7,0.303,1.1,4.8,0.222,4.3,12.9,0.333,3,3.2,0.917,0.3,3.5,3.8,5.4,0.8,0.3,4,3,14.8
156,Kay Felder\feldeka01,PG,22,DET,2,0,6,6,24,0.25,0,6,0,6,18,0.333,0,0,,12,12,24,0,0,0,6,0,12
157,Cristiano Felicio\feliccr01,C,25,CHI,55,16,977,4.7,7.9,0.591,0,0.1,0,4.7,7.8,0.596,2,3,0.667,3.1,5.5,8.6,2,0.6,0.4,2,3.8,11.3
158,Raymond Felton\feltora01,PG,33,OKC,82,2,1365,5.9,14.6,0.406,2.1,6.1,0.352,3.8,8.5,0.444,0.9,1.2,0.818,0.7,3.5,4.1,5.4,1.3,0.4,2,2.4,14.9
159,Terrance Ferguson\fergute01,SG,19,OKC,61,12,763,3.3,8,0.414,1.9,5.7,0.333,1.4,2.3,0.612,0.4,0.5,0.9,0.9,1.3,2.2,0.9,1.1,0.5,0.5,3.9,8.9
160,Yogi Ferrell\ferreyo01,SG,24,DAL,82,21,2282,4.9,11.5,0.426,2.1,5.7,0.373,2.8,5.9,0.477,1.3,1.6,0.796,0.4,3.5,3.9,3.2,1,0.1,1.2,2.4,13.2
161,Dorian Finney-Smith\finnedo01,PF,24,DAL,21,13,448,3.7,9.7,0.38,1.6,5.4,0.299,2.1,4.3,0.481,0.9,1.2,0.733,1.8,4.3,6,2.1,0.8,0.3,1.7,3.5,9.9
162,Bryn Forbes\forbebr01,SG,24,SAS,80,12,1517,5,11.8,0.421,2.1,5.4,0.39,2.8,6.4,0.446,1.1,1.7,0.667,0.3,2.3,2.6,1.9,0.7,0,0.9,2.6,13.2
163,Evan Fournier\fournev01,SF,25,ORL,57,57,1837,7.2,15.7,0.459,2.5,6.6,0.379,4.7,9.2,0.516,2.9,3.4,0.867,0.5,3.1,3.5,3.2,0.9,0.3,1.9,2.7,19.9
164,De'Aaron Fox\foxde01,PG,20,SAC,73,60,2026,5.8,14.2,0.412,0.8,2.7,0.307,5,11.4,0.436,2.5,3.5,0.723,0.6,3,3.6,5.7,1.2,0.4,3.1,2.9,15
165,Tim Frazier\fraziti01,PG,27,WAS,59,11,838,2.9,7.4,0.395,0.7,2.4,0.304,2.2,5,0.44,1,1.3,0.767,0.8,4.2,4.9,8.3,2,0.3,2.4,4.2,7.6
166,Channing Frye\fryech01,C,34,TOT,53,1,695,5.4,11,0.491,2,6,0.339,3.4,5,0.67,0.9,1,0.895,0.6,6.4,7,2,0.9,0.7,1.1,3.6,13.7
166,Channing Frye\fryech01,C,34,CLE,44,1,545,5.5,11.2,0.497,2,5.9,0.333,3.6,5.2,0.684,0.9,1,0.933,0.7,6.6,7.3,1.8,1.1,0.8,1.1,3.6,14
166,Channing Frye\fryech01,C,34,LAL,9,0,150,4.8,10.3,0.465,2.2,6,0.36,2.6,4.3,0.611,0.7,1,0.75,0.5,5.5,6,2.4,0.2,0.2,1,3.6,12.5
167,Markelle Fultz\fultzma01,SG,19,PHI,14,0,253,6.4,15.8,0.405,0,0.1,0,6.4,15.7,0.409,1.4,3,0.476,1.6,4.6,6.1,7.5,1.7,0.6,2.4,3.1,14.2
168,Danilo Gallinari\gallida01,SF,29,LAC,21,21,671,5.5,13.7,0.398,1.9,6,0.324,3.5,7.8,0.455,4.3,4.7,0.931,0.5,4.9,5.4,2.2,0.6,0.5,1.4,1.6,17.2
169,Langston Galloway\gallola01,SG,26,DET,58,2,863,5.3,14.2,0.371,3.1,9.1,0.344,2.1,5.1,0.418,1.4,1.7,0.805,0.5,3.3,3.8,2.4,1.5,0.2,0.8,1.6,15
170,Marc Gasol\gasolma01,C,33,MEM,73,73,2408,6.5,15.4,0.42,1.6,4.8,0.341,4.9,10.7,0.456,4.2,5,0.834,1.2,7.7,8.9,4.6,0.8,1.5,2.9,2.8,18.8
171,Pau Gasol\gasolpa01,C,37,SAS,77,63,1812,5.7,12.5,0.458,0.9,2.4,0.358,4.8,10.1,0.481,3.1,4.2,0.756,2.6,9.7,12.3,4.7,0.5,1.6,2.1,2.4,15.4
172,Rudy Gay\gayru01,PF,31,SAS,57,6,1231,7.4,15.7,0.471,1.1,3.5,0.314,6.3,12.3,0.516,3.3,4.2,0.772,2.2,6.3,8.5,2.1,1.3,1.1,2.3,2.9,19.2
173,Paul George\georgpa01,SF,27,OKC,79,79,2891,7.2,16.7,0.43,3,7.6,0.401,4.1,9.1,0.454,4.2,5.1,0.822,0.9,4.7,5.6,3.3,2,0.5,2.6,2.9,21.6
174,Marcus Georges-Hunt\georgma01,SG,23,MIN,42,0,224,3.4,7.7,0.438,0.6,2.4,0.267,2.7,5.3,0.515,2.1,3.4,0.619,1.1,1.4,2.6,1.1,1,0,0.5,5.1,9.5
175,Jonathan Gibson\gibsojo01,PG,30,BOS,4,0,40,12.6,20.7,0.609,5.4,10.8,0.5,7.2,9.9,0.727,0,0,,0,2.7,2.7,3.6,0,0,2.7,4.5,30.6
176,Taj Gibson\gibsota01,PF,32,MIN,82,82,2726,5.6,9.7,0.577,0.1,0.5,0.2,5.5,9.3,0.595,1.9,2.4,0.768,2.6,5.2,7.7,1.3,0.8,0.8,1.2,2.9,13.2
177,Manu Ginobili\ginobma01,SG,40,SAS,65,0,1299,5.6,12.8,0.434,1.8,5.3,0.333,3.8,7.5,0.506,3,3.6,0.84,0.5,3.4,3.9,4.5,1.2,0.4,2.9,3.5,16
178,Rudy Gobert\goberru01,C,25,UTA,56,56,1816,5.5,8.8,0.622,0,0,,5.5,8.8,0.622,4,5.9,0.682,3.3,8.6,11.9,1.6,0.9,2.6,2.1,3,15
179,Aaron Gordon\gordoaa01,PF,22,ORL,58,57,1909,7.1,16.3,0.434,2.2,6.4,0.336,4.9,9.9,0.497,3,4.2,0.698,1.6,7,8.6,2.6,1.1,0.8,2,2.1,19.3
180,Eric Gordon\gordoer01,SG,29,HOU,69,30,2154,6.9,16.2,0.428,3.6,10.2,0.359,3.3,6.1,0.544,3.3,4,0.809,0.4,2.4,2.8,2.6,0.7,0.5,2.2,1.9,20.8
181,Marcin Gortat\gortama01,C,33,WAS,82,82,2075,5,9.7,0.518,0,0,,5,9.7,0.518,1.9,2.8,0.675,3.1,7.7,10.8,2.6,0.7,1.1,1.7,3,12
182,Treveon Graham\grahatr01,SG,24,CHO,63,2,1050,3.3,7.6,0.434,1.4,3.3,0.412,1.9,4.3,0.452,1.4,2,0.695,1.4,2.7,4.1,2,1.1,0.1,0.9,3.7,9.4
183,Jerami Grant\grantje01,PF,23,OKC,81,1,1647,5.3,10,0.535,0.7,2.4,0.291,4.6,7.6,0.613,3.5,5.2,0.675,1.9,5.1,7,1.2,0.7,1.7,1.2,3.4,14.9
184,Jerian Grant\grantje02,PG,25,CHI,74,26,1686,4.5,10.7,0.416,1.3,4,0.326,3.2,6.7,0.468,3,4,0.745,0.7,3,3.7,7.3,1.3,0.2,1.9,2.8,13.2
185,Josh Gray\grayjo01,PG,24,PHO,5,0,86,4.6,17.2,0.268,1.3,5.4,0.231,3.3,11.7,0.286,2.9,4.6,0.636,0.8,3.3,4.2,5,3.3,0.8,2.9,3.3,13.4
186,Danny Green\greenda02,SG,30,SAS,70,60,1791,4.4,11.3,0.387,2.3,6.4,0.363,2,4.8,0.419,1,1.3,0.769,0.8,4.2,5,2.2,1.3,1.6,1.5,2.5,12.1
187,Draymond Green\greendr01,PF,27,GSW,70,70,2287,4.4,9.7,0.454,1.2,4,0.301,3.2,5.7,0.562,2.1,2.7,0.775,1.2,7.2,8.4,8,1.5,1.4,3.2,2.9,12.2
188,Gerald Green\greenge01,SG,32,HOU,41,2,929,6.5,16,0.407,4.3,11.5,0.369,2.2,4.5,0.504,2,2.3,0.85,0.6,4.6,5.2,1,0.9,0.6,1.2,3.4,19.3
189,JaMychal Green\greenja01,PF,27,MEM,55,54,1542,5.2,11.4,0.457,1,3,0.339,4.2,8.4,0.499,1.9,2.6,0.721,3.4,7.4,10.8,1.8,0.7,0.6,1.8,3.6,13.3
190,Jeff Green\greenje02,PF,31,CLE,78,13,1828,5.8,12.2,0.477,1,3.3,0.312,4.8,8.8,0.54,4,4.6,0.868,1.2,3.7,4.8,1.9,0.8,0.7,1.5,2.9,16.7
191,Blake Griffin\griffbl01,PF,28,TOT,58,58,1970,8,18.2,0.438,2,5.9,0.345,5.9,12.3,0.482,4.7,6,0.785,1.3,6.5,7.8,6.1,0.7,0.3,3,2.5,22.7
191,Blake Griffin\griffbl01,PF,28,LAC,33,33,1139,8.1,18.3,0.441,2,5.9,0.342,6,12.4,0.488,5.4,6.9,0.785,1.5,6.8,8.3,5.7,0.9,0.3,3.1,2.5,23.6
191,Blake Griffin\griffbl01,PF,28,DET,25,25,831,7.8,18.1,0.433,2,5.8,0.348,5.8,12.3,0.473,3.8,4.8,0.784,1.2,6,7.2,6.7,0.5,0.4,2.9,2.6,21.5
192,Daniel Hamilton\hamilda02,SG,22,OKC,6,0,28,6.4,14.1,0.455,2.6,6.4,0.4,3.9,7.7,0.5,0,0,,0,6.4,6.4,10.3,1.3,0,2.6,2.6,15.4
193,Tim Hardaway\hardati02,SG,25,NYK,57,54,1885,6.9,16.3,0.421,2.5,7.8,0.317,4.4,8.5,0.516,2.8,3.4,0.816,0.6,3.7,4.3,3,1.2,0.2,1.8,2.3,19
194,James Harden\hardeja01,SG,28,HOU,72,72,2551,9.2,20.4,0.449,3.7,10.2,0.367,5.4,10.3,0.531,8.8,10.3,0.858,0.6,4.9,5.5,8.9,1.8,0.7,4.4,2.4,30.9
195,Maurice Harkless\harklma01,SF,24,POR,59,36,1264,4.2,8.5,0.495,1.4,3.4,0.415,2.8,5.1,0.547,1.2,1.7,0.712,1.3,3.3,4.6,1.5,1.4,1.2,1.1,2.9,11
196,Montrezl Harrell\harremo01,C,24,LAC,76,3,1293,9.7,15.3,0.635,0,0.2,0.143,9.7,15.1,0.641,3.9,6.2,0.626,2.9,5.7,8.5,2.1,1,1.4,1.9,4,23.3
197,Devin Harris\harride01,PG,34,TOT,71,1,1340,5,12.2,0.412,2.1,6.1,0.348,2.9,6.1,0.476,3.8,4.6,0.835,0.3,3.1,3.4,4.1,1.3,0.3,2,4.2,16
197,Devin Harris\harride01,PG,34,DAL,44,1,807,5.3,12.7,0.415,2,5.6,0.352,3.3,7.1,0.465,4.1,5,0.83,0.4,3.4,3.8,3.8,1.5,0.4,2.2,4.6,16.6
197,Devin Harris\harride01,PG,34,DEN,27,0,533,4.7,11.5,0.406,2.4,6.9,0.343,2.3,4.6,0.5,3.3,3.9,0.845,0.2,2.6,2.8,4.5,0.9,0.3,1.8,3.7,15
198,Gary Harris\harriga01,SG,23,DEN,67,65,2304,6.9,14.2,0.485,2.4,6.2,0.396,4.4,8,0.553,2.1,2.5,0.827,0.6,2.2,2.7,3,1.9,0.2,1.9,1.9,18.3
199,Joe Harris\harrijo01,SG,26,BRK,78,14,1975,5.6,11.3,0.491,2.7,6.5,0.419,2.8,4.8,0.589,1.6,1.9,0.827,0.9,3.8,4.7,2.3,0.6,0.4,1.7,2.8,15.4
200,Tobias Harris\harrito02,PF,25,TOT,80,80,2668,7.6,16.5,0.46,2.5,6,0.411,5.1,10.5,0.488,2.4,2.9,0.829,0.8,5.1,5.9,2.6,1,0.5,1.4,2.2,20.1
200,Tobias Harris\harrito02,PF,25,DET,48,48,1563,7.4,16.3,0.451,2.6,6.4,0.409,4.8,10,0.478,2.6,3.1,0.846,0.8,4.8,5.6,2.2,0.8,0.3,1.2,2.1,20
200,Tobias Harris\harrito02,PF,25,LAC,32,32,1105,7.9,16.7,0.473,2.3,5.5,0.414,5.6,11.2,0.501,2.1,2.6,0.8,0.7,5.6,6.3,3.2,1.2,0.7,1.8,2.4,20.1
201,Aaron Harrison\harriaa01,SG,23,DAL,9,3,233,2.9,10.7,0.275,1.4,6.6,0.209,1.5,4,0.385,2,2.6,0.765,0.6,3.1,3.7,1.7,1.4,0.3,0.5,4.2,9.3
202,Andrew Harrison\harrian01,PG,23,MEM,56,46,1326,4.9,11.6,0.422,1.3,3.9,0.331,3.6,7.8,0.467,3.4,4.3,0.78,0.6,2.9,3.6,4.8,1,0.7,2.2,3.7,14.5
203,Shaquille Harrison\harrish01,PG,24,PHO,23,2,384,5.5,11.6,0.476,0.6,2.4,0.231,5,9.2,0.541,2.6,3.6,0.737,0.8,4.9,5.7,5.2,2.4,0.7,2.1,3.9,14.2
204,Josh Hart\hartjo01,SG,22,LAL,63,23,1461,4.3,9.2,0.469,1.9,4.9,0.396,2.4,4.4,0.551,1.6,2.3,0.702,1,5.4,6.5,2,1.2,0.4,1.2,2.6,12.2
205,Udonis Haslem\hasleud01,C,37,MIA,14,0,72,1.5,7.5,0.2,0.5,4,0.125,1,3.5,0.286,0.5,1,0.5,1.5,3.5,5,2.5,0,1,1,1.5,4
206,Nigel Hayes\hayesni01,SF,23,TOT,9,0,122,3.2,9.7,0.333,1.2,4.7,0.25,2.1,5,0.412,0.3,0.9,0.333,1.2,5.3,6.5,1.8,0.6,0.9,0.6,2.4,8
206,Nigel Hayes\hayesni01,SF,23,LAL,2,0,11,3.3,9.8,0.333,0,6.5,0,3.3,3.3,1,3.3,3.3,1,0,0,0,6.5,0,0,0,0,9.8
206,Nigel Hayes\hayesni01,SF,23,TOR,2,0,6,12,12,1,12,12,1,0,0,,0,0,,0,0,0,0,0,0,6,0,36
206,Nigel Hayes\hayesni01,SF,23,SAC,5,0,105,2.7,9.6,0.286,0.7,4.1,0.167,2.1,5.5,0.375,0,0.7,0,1.4,6.2,7.5,1.4,0.7,1,0.3,2.7,6.2
207,Gordon Hayward\haywago01,SF,27,BOS,1,1,5,7.2,14.4,0.5,0,7.2,0,7.2,7.2,1,0,0,,0,7.2,7.2,0,0,0,0,7.2,14.4
208,Reggie Hearn\hearnre01,SG,26,DET,3,0,7,5.1,10.3,0.5,5.1,10.3,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,15.4
209,Myke Henry\henrymy01,SF,25,MEM,20,0,378,3.9,10.4,0.376,1.8,5.5,0.328,2.1,4.9,0.431,0.6,1,0.6,1,2.7,3.6,2.1,3,0.6,1.8,2.7,10.2
210,John Henson\hensojo01,C,27,MIL,76,69,1970,5.2,9.2,0.572,0,0.1,0.143,5.2,9,0.578,1.6,2.9,0.57,2.7,6.6,9.4,2.1,0.8,2,1.5,3.7,12.2
211,Juan Hernangomez\hernaju01,PF,22,DEN,25,3,277,3.8,9.7,0.387,1.8,6.5,0.28,1.9,3.2,0.6,1.3,1.6,0.833,2.3,4.7,7,1.6,0.8,0.4,1.2,3.2,10.7
212,Willy Hernangomez\hernawi01,C,23,TOT,48,1,495,6.6,11.9,0.555,0.4,0.9,0.417,6.3,11.1,0.566,4.3,6.5,0.656,4.4,8.9,13.3,2.4,1.3,1.2,2.5,4.7,17.9
212,Willy Hernangomez\hernawi01,C,23,NYK,26,0,233,7.6,12.5,0.605,0.2,0.8,0.2,7.4,11.7,0.632,1.9,4.3,0.429,3.4,7,10.4,3.2,1.2,1.1,4,4.9,17.2
212,Willy Hernangomez\hernawi01,C,23,CHO,22,1,262,5.8,11.4,0.506,0.5,1,0.571,5.2,10.4,0.5,6.5,8.5,0.758,5.4,10.6,15.9,1.6,1.4,1.2,1.2,4.4,18.5
213,Mario Hezonja\hezonma01,SF,22,ORL,75,30,1657,5.9,13.4,0.442,2,5.8,0.337,4,7.6,0.523,1.9,2.3,0.819,0.9,5.2,6.1,2.3,1.8,0.7,1.9,2.9,15.7
214,Isaiah Hicks\hicksis01,PF,23,NYK,18,0,240,5,10.8,0.458,0.3,1.4,0.222,4.6,9.5,0.492,1.8,2.7,0.667,1.5,4.6,6.1,2.4,0.3,0.6,2.4,6.8,12
